condition,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Hypertension,0.17,0.015,0.143,0.201,Community,Anxiety : Asthma,Anxiety,Asthma
Hypertension,0.07,0.015,0.046,0.104,Community,Anxiety : Diabetes,Anxiety,Diabetes
Hypertension,0.06,0.015,0.032,0.09,Community,Asthma : Diabetes,Asthma,Diabetes
Osteoarthritis,0.05,0.013,0.023,0.072,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Osteoarthritis,0.14,0.013,0.113,0.162,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Osteoarthritis,0.13,0.013,0.101,0.153,Community,Asthma : Cardiovascular,Asthma,Cardiovascular
Osteoarthritis,0.08,0.016,0.052,0.115,Community,Cardiovascular : Thyroid disorders,Cardiovascular,Thyroid disorders
Osteoarthritis,0.41,0.014,0.38,0.437,Community,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Osteoarthritis,0.17,0.013,0.149,0.2,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Osteoarthritis,0.18,0.013,0.15,0.202,Community,Acid-related disease : Asthma,Acid-related disease,Asthma
Osteoarthritis,0.05,0.017,0.017,0.084,Community,Acid-related disease : Thyroid disorders,Acid-related disease,Thyroid disorders
Osteoarthritis,0.1,0.016,0.066,0.127,Community,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Osteoarthritis,0.18,0.013,0.156,0.209,Community,Anxiety : Asthma,Anxiety,Asthma
Osteoarthritis,0.06,0.017,0.022,0.088,Community,Anxiety : Thyroid disorders,Anxiety,Thyroid disorders
Osteoarthritis,0.13,0.017,0.092,0.158,Community,Anxiety : Diabetes,Anxiety,Diabetes
Osteoarthritis,0.07,0.017,0.04,0.106,Community,Asthma : Thyroid disorders,Asthma,Thyroid disorders
Osteoarthritis,0.14,0.016,0.104,0.167,Community,Asthma : Diabetes,Asthma,Diabetes
Osteoarthritis,0.12,0.019,0.076,0.153,Community,Diabetes : Thyroid disorders,Diabetes,Thyroid disorders
Osteoporosis,0.29,0.011,0.269,0.312,Community,Cardiovascular : Pain,Cardiovascular,Pain
Osteoporosis,0.45,0.01,0.43,0.47,Community,Arthritis : Pain,Arthritis,Pain
Osteoporosis,0.18,0.011,0.159,0.202,Community,Acid-related disease : Pain,Acid-related disease,Pain
Osteoporosis,0.32,0.012,0.297,0.343,Community,Anxiety : Pain,Anxiety,Pain
Osteoporosis,0.23,0.012,0.209,0.254,Community,Asthma : Pain,Asthma,Pain
Osteoporosis,0.39,0.011,0.372,0.414,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Osteoporosis,0.02,0.012,-0.003,0.044,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Osteoporosis,0.09,0.012,0.07,0.118,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
