company,trial,sex,n,fn1,fn2,fn3,fn4
lilly,LILLY_H9X_MC_GBDG,female,167,57.65269461077844,9.569610625025938,23,78
lilly,LILLY_H9X_MC_GBDG,male,133,56.78195488721804,9.838343622804281,35,80
rch,RCHNA25220,female,556,51.60791366906475,11.534868812529394,18,82
rch,RCHNA25220,male,100,54.72,11.191699666008796,18,77
rch,RCHQ4881G,female,232,41.956896551724135,14.447032524656159,12,73
rch,RCHQ4881G,male,87,39.37931034482759,14.859998888314417,13,74
rch,RCHQ4882G,female,245,41.67755102040816,13.652527318216226,14,75
rch,RCHQ4882G,male,78,45.06410256410256,13.360476451172353,14,75
rch,RCHQ4883G,female,242,42.59504132231405,14.068639390987249,14,73
rch,RCHQ4883G,male,94,44.638297872340424,14.330095456112138,14,75
rch,RCHWA19924,female,263,53.448669201520914,12.79447892531413,20,85
